Position,readings 1 (count/10sec.),readings 2 (count/10sec.),readings 3 (count/10sec.)
0,133,135,126
0.2,147,167,155
0.4,119,129,122
0.6,92,99,86
0.8,197,183,172
1,208,210,208
1.2,259,300,274
1.4,243,306,290
1.6,421,467,468
1.8,874,867,864
2,332,367,377
2.1,359,340,381
2.2,948,849,945
2.3,1707,1636,1757
2.4,1811,1881,1915
2.5,1341,1294,1316
2.6,515,545,519
2.7,384,402,369
2.8,1383,1369,1338
2.9,2714,2697,2733
3,3132,3088,3161
3.1,2071,2140,2114
3.2,590,628,610
3.3,344,329,347
3.4,1784,1816,1753
3.5,3618,3476,3449
3.6,4030,4052,4024
3.7,2738,2636,2660
3.8,764,751,713
3.9,306,310,318
4,1755,1841,1797
4.1,3837,3798,3828
4.2,4438,4436,4441
4.3,3020,2907,3011
4.4,937,958,892
4.5,304,288,301
4.6,1595,1648,1598
4.7,3515,3558,3454
4.8,3979,4031,4112
4.9,2763,2862,2674
5,911,961,937
5.1,336,361,362
5.2,1381,1407,1419
5.3,2777,2694,2718
5.4,2986,3093,3134
5.5,2253,2109,2111
5.6,891,846,857
5.7,392,410,413
5.8,975,962,959
5.9,1672,1740,1661
6,1857,1822,1902
6.2,641,654,649
6.4,588,618,585
6.6,820,842,856
6.8,422,416,415
7,354,335,324
7.2,282,263,265
7.4,256,237,249
7.6,181,189,174
7.8,70,89,80
8,82,81,95
8.2,96,86,105
8.4,195,204,226
8.6,475,480,457
8.8,588,638,655
9,804,793,742
9.2,1051,1040,1024
9.4,1216,1212,1275
9.6,1357,1277,1377
9.8,1498,1524,1440
10,1555,1631,1645
