Position,readings 1 (count/10sec.),readings 2 (count/10sec.),readings 3 (count/10sec.)
0,152,123,131
0.4,135,101,99
0.8,85,92,81
1.2,69,83,56
1.6,98,108,117
2,176,205,178
2.4,311,360,323
2.8,527,539,509
3.2,769,803,809
3.6,1021,1044,960
4,1202,1237,1273
4.4,1372,1404,1367
4.8,1443,1431,1440
5.2,1391,1306,1327
5.6,1240,1169,1195
6,993,925,965
6.4,682,694,723
6.8,481,501,455
7.2,291,253,278
7.6,124,154,154
8,62,73,72
8.4,126,109,96
8.8,287,229,263
9.2,539,532,505
9.6,749,815,791
10,1018,1056,1011
