slit position (mm) +/- 0.05,"intensity (V), run #1","intensity (V), run #2","intensity (V), run #3"
0,13.8,13.6,13.2
0.4,32.9,32.9,32.3
0.8,65.7,64.7,63.1
1.2,114.1,113.3,111
1.6,166.1,165,161.1
2,225.2,222.1,217.4
2.4,283,279.8,273
2.8,329.2,327.1,318.5
3.2,358.5,354.6,345.7
3.6,367.4,363.8,354.1
4,356.1,353.7,344.1
4.4,326.3,324.5,315.8
4.8,278.5,276.6,268.5
5.2,217.3,215,209.1
5.6,158,156.3,151.7
6,105.2,104.6,101.6
6.4,62.2,62,60.6
6.8,30.2,29.9,29.1
7.2,9.9,9.4,9.4
7.6,6.1,6.2,6.2
8,6.1,6.2,6.2
8.4,6.1,6.2,6.2
8.8,6.3,6.4,6.3
9.2,9.2,9.4,8.9
9.6,30.3,29.6,29.1
10,101.5,102.7,98.8
