slit position (mm) +/- 0.05,"intensity (V), run #1","intensity (V), run #2","intensity (V), run #3"
0,6.9,6.9,6.9
0.4,6.3,6.3,6.4
0.8,7.7,7.7,7.5
1.2,22.9,23.2,22.8
1.6,47.7,48,47.2
2,86.5,87.2,84.9
2.4,142.2,141.2,137.1
2.8,202.2,203.5,197.3
3.2,261.2,262.2,255.5
3.6,218.7,319.3,311.2
4,369.8,370.9,361.1
4.4,398.5,399.7,389
4.8,401.5,402.9,393
5.2,392.4,393.9,383.8
5.6,358,358.9,348.9
6,298.3,298.8,292.3
6.4,242.2,243,236.4
6.8,174.7,174.9,169.7
7.2,110.2,111,108.1
7.6,65.8,65.5,63.9
8,6.4,6.4,6.4
8.4,6.7,6.7,6.7
8.8,15.4,16,14.9
9.2,63.1,63.2,59.8
9.6,94.6,94.9,90.5
10,111.5,111.9,107.3
